F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -   569 -      ?        00:00:00 init
0 S     0     4     1  0  80   0 -   569 -      ?        00:00:00 init
5 S     0    10     1  0  80   0 -   570 -      ?        00:00:00 init
5 S     0    11    10  0  80   0 -   574 -      ?        00:00:00 init
4 S  1000    12    11  0  80   0 -   653 do_wai pts/0    00:00:00 sh
0 S  1000    13    12  0  80   0 -   653 do_wai pts/0    00:00:00 sh
0 S  1000    18    13  0  80   0 -   653 do_wai pts/0    00:00:00 sh
0 S  1000    22    18  0  80   0 - 235759 -     pts/0    00:00:20 node
0 S  1000    42    22  0  80   0 - 167399 -     pts/0    00:00:09 node
5 S     0  5069     1  0  80   0 -   573 -      ?        00:00:00 init
5 S     0  5070  5069  0  80   0 -   573 -      ?        00:00:00 init
4 S  1000  5071  5070  0  80   0 - 147920 -     pts/1    00:00:01 node
0 S  1000  5078    22  0  80   0 - 241627 -     pts/0    00:00:00 node
5 S     0  5085     1  0  80   0 -   573 -      ?        00:00:00 init
5 S     0  5086  5085  0  80   0 -   573 -      ?        00:00:00 init
4 S  1000  5087  5086  0  80   0 - 146040 -     pts/2    00:00:01 node
0 S  1000  5100    22  0  80   0 - 248248 -     pts/0    00:00:12 node
0 S  1000  5254  5100  0  80   0 - 530106 -     pts/0    00:00:04 cpptools
0 S  1000  5324    42  0  80   0 -  2573 do_wai pts/3    00:00:00 bash
0 S  1000  7360    11  0  80   0 - 1385345 futex_ pts/0  00:00:00 cpptools-srv
0 R  1000  8486  5324  0  80   0 -  2631 -      pts/3    00:00:00 ps
